Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp
Kike Valenzuela #NoSoyElDeFoco,@KikeValenzuelaL,,68,394,71,16 mil,https://twitter.com/KikeValenzuelaL/status/1786787605620666464,https://twitter.com/KikeValenzuelaL,"Si gana Mulino, que obviamente es una posibilidad, ya verán a ese poco de abogados que rodean a Martinelli convertirse en dueños del sistema legal y de justicia. Ojalá y esté equivocado.",4 may.,2024-05-04T15:58:56.000Z
Raúl Conte,@raulconte10,,124,371,15,10 mil,https://twitter.com/raulconte10/status/1786510687117676804,https://twitter.com/raulconte10,"Mulino saca ojos
Mulino saca ojos
Mulino saca ojos
Mulino saca ojos
Mulino saca ojos
Mulino saca ojos
Mulino saca ojos
Mulino saca ojos
Mulino saca ojos",3 may.,2024-05-03T21:38:34.000Z
PACHIFULA#NoALaReelección,@Pachifula,,290,1 mil,80,32 mil,https://twitter.com/Pachifula/status/1786250700592169212,https://twitter.com/Pachifula,"Yo NO QUIERO A MULINO DICTADOR.

SÚMATE.",2 may.,2024-05-03T04:25:28.000Z
𝑪𝒂𝒄𝒕𝒖𝒔,@antoniosaezz13,,43,141,,3 mil,https://twitter.com/antoniosaezz13/status/1787311912578863497,https://twitter.com/antoniosaezz13,"Soy Mulino poniendo cara cuando empezaron a gritar Martinelli 
Y después grito “Mulino presidente carajo” haha esa tortilla se va a virarrrrrr",5 may.,2024-05-06T02:42:21.000Z
Orlando Avendaño,@OrlvndoA,"https://pbs.twimg.com/media/GM3X1zgXEAEti1w?format=jpg&name=small, https://pbs.twimg.com/media/GM3X1zgXEAEti1w?format=jpg&name=small",117,367,66,31 mil,https://twitter.com/OrlvndoA/status/1787351891166257661,https://twitter.com/OrlvndoA,"Me desconciertan enormemente aquellos países donde Twitter (X) es casi irrelevante. 

Por ejemplo, Raúl Mulino se convirtió en el nuevo presidente de Panamá, y su post al respecto apenas pasa los 200 RTs.",6 may.,2024-05-06T05:21:12.000Z
Castelho,@IngLucasVianna,"https://pbs.twimg.com/media/GMm0KKNXcAAGgpo?format=jpg&name=small, https://pbs.twimg.com/media/GMm0KKNXcAAGgpo?format=jpg&name=small",42,109,18,8 mil,https://twitter.com/IngLucasVianna/status/1786164885597949991,https://twitter.com/IngLucasVianna,"No me lo creo y la Prensa siempre hace eso:asustar a la gente con q Mulino va sobrao' d 1°,para q los q apoyan al q va d 3° y4°,para no ""botar su voto"",voten x el 2°,q es Martin y con ese ""voto d miedo"" darle la presidencia a Torrijos.
Si usted va por Romulo o Lombana,siga firme.",2 may.,2024-05-02T22:44:28.000Z
Xavier Ibn-La'Ahad,@tortugaconqueso,,30,126,8,4 mil,https://twitter.com/tortugaconqueso/status/1786804743173529705,https://twitter.com/tortugaconqueso,"maybe un periodo de mulino es lo que hace falta para que los cultistas vean que la economía en el gob de martinelli no se movió gracias a él, sino -a pesar- de él

Pero bueno, ya serían que, cuatro quinquenios perdidos? En que momento se declara al estado irreparablemente fallido",4 may.,2024-05-04T17:07:02.000Z
Alfonso Grimaldo,@AlfonsoAGP,,181,414,,9 mil,https://twitter.com/AlfonsoAGP/status/1786370056634466546,https://twitter.com/AlfonsoAGP,"Cuando José Mulino fue ministro de Seguridad, fueron los años que más homicidios se registraron en los últimos 20 años.",3 may.,2024-05-03T12:19:45.000Z
Felipe Argote,@fargote507,,49,221,35,8 mil,https://twitter.com/fargote507/status/1786009182782517664,https://twitter.com/fargote507,"Dice el juez de boxeo que si inhabilitan a Mulino habra conmoción social. Si asi fuera habrian miles en la corte y no solo Bernal, Antinori y Toto. Si lo inhabilitan no pasa nada porque a los jovenes le importa un pepino y a los 4 que les importa no están para correr una cuadra.",2 may.,2024-05-02T12:25:46.000Z
Giovana Delgado,@giodelgador,,135,567,74,17 mil,https://twitter.com/giodelgador/status/1786011879338316049,https://twitter.com/giodelgador,Mulino es un pésimo candidato. Y con la moral en -1 apoyando a un corrupto condenado y prófugo. Tiene todo lo que no se le debe enseñar a las futuras generaciones.,2 may.,2024-05-02T12:36:29.000Z
